contestId,index,name,points,rating,tags,type
4,C,Registration System,,1500.0,"['data structures', 'hashing', 'implementation']",PROGRAMMING
873,B,Balanced Substring,,1500.0,"['dp', 'implementation']",PROGRAMMING
713,A,Sonya and Queries,500.0,1500.0,"['data structures', 'implementation']",PROGRAMMING
709,B,Checkpoints,1000.0,1500.0,"['greedy', 'implementation', 'sortings']",PROGRAMMING
702,B,Powers of Two,,1500.0,"['brute force', 'data structures', 'implementation', 'math']",PROGRAMMING
696,A,Lorenzo Von Matterhorn,500.0,1500.0,"['brute force', 'data structures', 'implementation', 'trees']",PROGRAMMING
677,C,Vanya and Label,1500.0,1500.0,['implementation'],PROGRAMMING
676,B,Pyramid of Glasses,1000.0,1500.0,['implementation'],PROGRAMMING
643,A,Bear and Colors,500.0,1500.0,['implementation'],PROGRAMMING
659,D,Bicycle Race,1250.0,1500.0,"['geometry', 'implementation', 'math']",PROGRAMMING
864,D,Make a Permutation!,2000.0,1500.0,"['greedy', 'implementation']",PROGRAMMING
637,A,Voting for Photos,500.0,1500.0,"['*special', 'constructive algorithms', 'implementation']",PROGRAMMING
887,C,Solution for Cube,1500.0,1500.0,"['brute force', 'implementation']",PROGRAMMING
991,C,Candies,1250.0,1500.0,"['binary search', 'implementation']",PROGRAMMING
1106,B,Lunar New Year and Food Ordering,1000.0,1500.0,"['data structures', 'implementation']",PROGRAMMING
1101,E,Polycarp's New Job,,1500.0,['implementation'],PROGRAMMING
1081,B,Farewell Party,1000.0,1500.0,"['constructive algorithms', 'implementation']",PROGRAMMING
1084,C,The Fair Nut and String,1500.0,1500.0,"['combinatorics', 'dp', 'implementation']",PROGRAMMING
1061,B,Views Matter,1000.0,1500.0,"['greedy', 'implementation', 'sortings']",PROGRAMMING
1043,C,Smallest Word,1500.0,1500.0,"['constructive algorithms', 'greedy', 'implementation']",PROGRAMMING
1046,F,Splitting money,,1500.0,['implementation'],PROGRAMMING
1012,A,Photo of The Sky,500.0,1500.0,"['brute force', 'implementation', 'math', 'sortings']",PROGRAMMING
1009,B,Minimum Ternary String,,1500.0,"['greedy', 'implementation']",PROGRAMMING
997,A,Convert to Ones,500.0,1500.0,"['brute force', 'greedy', 'implementation', 'math']",PROGRAMMING
